samplingdate,geo,population,ab_target,interpretation,seroprev_est,seroprev_lo95,seroprev_hi95,sero_denom,project,miss_denom,adjust_assay,adjust_pop
6/14/2020,CND,Q1 (least deprived),N,infection-induced,0.66,0.54,0.79,19633,CBS,0,1,1
6/14/2020,CND,Q5 (most deprived),N,infection-induced,0.8,0.58,1.03,6109,CBS,0,1,1
6/14/2020,CND,racialized,N,infection-induced,1.09,0.84,1.34,10695,CBS,0,1,1
6/14/2020,CND,white,N,infection-induced,0.66,0.59,0.74,52852,CBS,0,1,1
10/21/2020,CND,Q1 (least deprived),N,infection-induced,0.53,0.29,0.77,4043,CBS,0,1,1
10/21/2020,CND,Q5 (most deprived),N,infection-induced,0.84,0.31,1.35,1520,CBS,0,1,1
10/21/2020,CND,racialized,N,infection-induced,1.82,1.21,2.62,2291,CBS,0,1,1
10/21/2020,CND,white,N,infection-induced,0.75,0.61,0.92,12893,CBS,0,1,1
11/16/2020,CND,Q1 (least deprived),N,infection-induced,1.11,0.77,1.45,3900,CBS,0,1,1
11/16/2020,CND,Q5 (most deprived),N,infection-induced,2.43,1.58,3.28,1575,CBS,0,1,1
11/16/2020,CND,racialized,N,infection-induced,2.08,1.52,2.64,2501,CBS,0,1,1
11/16/2020,CND,white,N,infection-induced,1.35,1.13,1.57,12806,CBS,0,1,1
12/16/2020,CND,Q1 (least deprived),N,infection-induced,0.79,0.52,1.06,5246,CBS,0,1,1
12/16/2020,CND,Q5 (most deprived),N,infection-induced,2.3,1.53,3.07,1526,CBS,0,1,1
12/16/2020,CND,racialized,N,infection-induced,2.19,1.4,2.98,2707,CBS,0,1,1
12/16/2020,CND,white,N,infection-induced,1.16,0.97,1.35,14289,CBS,0,1,1
1/14/2021,CND,Q1 (least deprived),N,infection-induced,1.53,1.26,1.81,8864,CBS,0,1,1
1/14/2021,CND,Q1 (least deprived),N,infection-induced,1.17,0.93,1.41,9278,CBS,0,1,1
1/14/2021,CND,Q1 (least deprived),S,induced by either,2.24,1.89,2.59,8864,CBS,0,1,1
1/14/2021,CND,Q5 (most deprived),N,infection-induced,4.04,3.28,4.8,2730,CBS,0,1,1
1/14/2021,CND,Q5 (most deprived),N,infection-induced,3.52,2.8,4.23,2592,CBS,0,1,1
1/14/2021,CND,Q5 (most deprived),S,induced by either,4.1,3.31,4.89,2592,CBS,0,1,1
1/14/2021,CND,racialized,N,infection-induced,3.37,2.84,3.91,4974,CBS,0,1,1
1/14/2021,CND,racialized,N,infection-induced,4.08,3.48,4.68,4728,CBS,0,1,1
1/14/2021,CND,racialized,S,induced by either,3.63,3.08,4.19,4728,CBS,0,1,1
1/14/2021,CND,white,N,infection-induced,1.66,1.49,1.82,25983,CBS,0,1,1
1/14/2021,CND,white,N,infection-induced,1.94,1.76,2.12,24857,CBS,0,1,1
1/14/2021,CND,white,S,induced by either,2.48,2.27,2.69,24857,CBS,0,1,1
3/6/2021,CND,Q1 (least deprived),N,infection-induced,2.38,1.91,2.85,4397,CBS,0,1,1
3/6/2021,CND,Q1 (least deprived),S,induced by either,9.38,8.49,10.27,4397,CBS,0,1,1
3/6/2021,CND,Q1 (least deprived),"S, no N",vaccine-induced,7.12,6.33,7.92,4285,CBS,0,1,1
3/6/2021,CND,Q5 (most deprived),N,infection-induced,3.12,2.45,3.8,2715,CBS,0,1,1
3/6/2021,CND,Q5 (most deprived),S,induced by either,10.41,9.23,11.59,2715,CBS,0,1,1
3/6/2021,CND,Q5 (most deprived),"S, no N",vaccine-induced,7.46,6.42,8.5,2633,CBS,0,1,1
3/6/2021,CND,racialized,N,infection-induced,4.98,4.18,5.91,2572,CBS,0,1,1
3/6/2021,CND,racialized,S,induced by either,11.78,10.71,13.28,2572,CBS,0,1,1
3/6/2021,CND,racialized,"S, no N",vaccine-induced,7.13,6.19,8.33,2438,CBS,0,1,1
3/6/2021,CND,white,N,infection-induced,2.84,2.54,3.14,12584,CBS,0,1,1
3/6/2021,CND,white,S,induced by either,9.47,8.94,10,12584,CBS,0,1,1
3/6/2021,CND,white,"S, no N",vaccine-induced,6.76,6.29,7.22,12202,CBS,0,1,1
4/21/2021,CND,Q1 (least deprived),N,infection-induced,2.7,2.22,3.18,4717,CBS,0,1,1
4/21/2021,CND,Q1 (least deprived),S,induced by either,29.61,28.29,30.94,4717,CBS,0,1,1
4/21/2021,CND,Q1 (least deprived),"S, no N",vaccine-induced,26.86,25.58,28.15,4717,CBS,0,1,1
